Symbol,Name,Sector,Niche,Base Price,AMM Supply Pool,User Longs,Total Outstanding Shares,Market Cap
"O-NEX","Omni-Nexus Corp","Technology","Quantum-resistant encryption hardware",161.81,1000000.00,0.00,1000000.00,161814742.82
"O-VOR","Omni-Vortex Corp","Technology","Generative AI for architectural blueprints",243.90,800000.00,0.00,800000.00,195120222.52
"O-CYB","Omni-CyberDyne Corp","Technology","Autonomous cybersecurity defense swarms",96.86,2000000.00,0.00,2000000.00,193724791.55
"O-NAN","Omni-NanoFab Corp","Manufacturing","Molecular assemblers for consumers",397.38,450000.00,0.00,450000.00,178821803.77
"O-QBI","Omni-Q-Bit Corp","Technology","Room-temperature quantum processing units",443.59,400000.00,0.00,400000.00,177435407.33
"O-HOL","Omni-HoloXperience Corp","Technology","Holographic telepresence for remote work",74.17,1500000.00,0.00,1500000.00,111251738.57
"O-AER","Omni-AeroNet Corp","Technology","High-altitude balloon internet synthesis",51.60,3000000.00,0.00,3000000.00,154806056.67
"O-DAT","Omni-DataMine Corp","Technology","Deep sea server farm cooling solutions",124.60,1200000.00,0.00,1200000.00,149525569.24
"O-ROB","Omni-RoboButler Corp","Technology","Humanoid domestic assistance droids",195.62,900000.00,0.00,900000.00,176061334.58
"O-VRS","Omni-MetaVerse Corp","Technology","Digital real estate development algorithms",31.63,5000000.00,0.00,5000000.00,158130504.16
"O-CHI","Omni-Silicon Corp","Technology","Biodegradable semiconductor manufacturing",108.27,1800000.00,0.00,1800000.00,194891803.70
"O-LIN","Omni-NeuralLinker Corp","Technology","Brain-Computer Interfaces for gaming",276.68,600000.00,0.00,600000.00,166009646.93
"O-CLD","Omni-Nimbus Corp","Technology","Decentralized fog computing storage",61.58,2500000.00,0.00,2500000.00,153947278.41
"O-AUT","Omni-AutoDrive Corp","Technology","LIDAR systems for underwater vehicles",87.60,1600000.00,0.00,1600000.00,140166287.40
"O-GAM","Omni-PolyFill Corp","Technology","AI-generated infinite open-world rpgs",45.40,3500000.00,0.00,3500000.00,158914132.20
"O-GEN","Omni-GeneFix Corp","Healthcare","CRISPR therapies for hair loss",136.75,1100000.00,0.00,1100000.00,150425305.35
"O-LIF","Omni-LifeExtension Corp","Healthcare","Telomere regeneration supplements",334.97,500000.00,0.00,500000.00,167484836.76
"O-MED","Omni-MediDrone Corp","Healthcare","Drone delivery of emergency defibrillators",75.96,1400000.00,0.00,1400000.00,106346668.73
"O-BIO","Omni-BioPrint Corp","Healthcare","3D printed custom organs for transplants",534.86,300000.00,0.00,300000.00,160458330.36
"O-NEU","Omni-NeuroCalm Corp","Healthcare","Implants for instant anxiety suppression",154.18,950000.00,0.00,950000.00,146473655.20
"O-VAC","Omni-VaxSpeed Corp","Healthcare","Universal flu vaccine patches",56.91,2200000.00,0.00,2200000.00,125212451.18
"O-DIA","Omni-DiagAI Corp","Healthcare","Smartphone-based retinal disease scanning",95.47,1300000.00,0.00,1300000.00,124112011.09
"O-SLE","Omni-DeepSleep Corp","Healthcare","Circadian rhythm reset chambers",118.53,800000.00,0.00,800000.00,94825068.82
"O-PTL","Omni-Petals Corp","Healthcare","Flower-derived pain management opioids",79.79,1700000.00,0.00,1700000.00,135650059.00
"O-SKI","Omni-DermaTech Corp","Healthcare","Synthetic skin for burn victims",184.70,650000.00,0.00,650000.00,120055686.72
"O-SOL","Omni-HelioPower Corp","Energy","Transparent solar windows for skyscrapers",47.94,2800000.00,0.00,2800000.00,134231021.81
"O-WIN","Omni-Zephyr Corp","Energy","Silent vertical-axis wind turbines for urban use",32.30,4000000.00,0.00,4000000.00,129204495.75
"O-FUS","Omni-Stellar Corp","Energy","Compact muon-catalyzed cold fusion reactors",348.76,200000.00,0.00,200000.00,69751558.14
"O-H20","Omni-HydroGenius Corp","Energy","Seawater-to-hydrogen electrolysis at scale",72.45,1500000.00,0.00,1500000.00,108674780.55
"O-BAT","Omni-SolidState Corp","Energy","Graphene supercapacitor batteries for EVs",114.41,1200000.00,0.00,1200000.00,137290847.94
